split,strategy,placebo_seed,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
4,neighbor_placebo,117.0,0.49982417476550267,0.2592495437815521,0.7116815010755078,0.176231238850486,0.017870023772887662,0.75,0.925,-0.017721781935205242
4,neighbor_placebo,442.0,0.5030124439323943,0.25917856627717184,0.711539660669324,0.1761782280271083,0.00952672078494575,0.75,0.95,-0.032078696192169645
4,neighbor_placebo,2025.0,0.504108927181071,0.25919285308866374,0.7115669950251562,0.17614817541903227,0.020111221788450425,0.75,0.925,-0.020331317462402337
4,neighbor_placebo,8080.0,0.5000978160127842,0.2591734847222838,0.7115293945821752,0.17599460512330284,0.0229146319094925,0.75,0.95,-0.02450747780839118
4,neighbor_placebo,9001.0,0.49825397275358935,0.259417050393102,0.7120176006239209,0.17643504448585182,0.018483776037747306,0.75,0.925,-0.010295450007006497
5,plain,,0.5517202675992483,0.24565519330926203,0.6844480228185249,0.08796460116692494,0.027096023003056052,0.5,0.7,-0.008416005770496589
5,similarity_weighted,,0.529732226421515,0.2460725713641901,0.6852824569335427,0.08780388794556628,0.021040104552709864,0.75,0.875,-0.01594357132649177
5,neighbor_placebo,117.0,0.5322030089632476,0.2459476310633944,0.6850324864021291,0.08735858067104123,0.024752637368394413,0.25,0.775,-0.00924602585628611
5,neighbor_placebo,442.0,0.5315411351385966,0.24598706790220787,0.6851115519563576,0.08746837470087321,0.013506289566313109,0.25,0.8500000000000001,-0.023024147224622357
5,neighbor_placebo,2025.0,0.5325098011368423,0.24596259168514567,0.6850625490589285,0.08751783266747534,0.03367702790530879,0.75,0.825,-0.006273415720410645
5,neighbor_placebo,8080.0,0.5380201476949068,0.2458145502950121,0.6847664246018733,0.08717552218039627,0.026110202102558388,0.5,0.775,-0.011264332761832405
5,neighbor_placebo,9001.0,0.5383930981959261,0.24584443291423835,0.6848262123815851,0.08741892663777404,0.024097197938466743,0.5,0.7999999999999999,-0.02684115797589981
6,plain,,0.5336205913651566,0.2497393445808156,0.6926239778640224,0.01794671390170904,0.005210560291620837,0.25,0.625,-0.0172982116927937
6,similarity_weighted,,0.5162618694869838,0.2501133518537516,0.6933756655082519,0.017215347692116672,-0.024107439603360203,0.25,0.75,-0.05346653857870095
6,neighbor_placebo,117.0,0.5331177967405084,0.2496382951915228,0.6924221259350658,0.017885054771881837,0.014192179507918134,0.5,0.8500000000000001,-0.007878990733735552
6,neighbor_placebo,442.0,0.5250761387417566,0.24984826420474315,0.692842685048684,0.017666850977375977,0.008497993891963186,0.5,0.75,-0.007033920576667657
6,neighbor_placebo,2025.0,0.521937881277126,0.2498924392814744,0.6929319413128066,0.017853576415511767,0.004043680050060033,0.5,0.7750000000000001,-0.008329058891374298
6,neighbor_placebo,8080.0,0.5201389833469353,0.24997223467000154,0.6930921701230464,0.017790713299621667,0.004031026481151887,0.5,0.75,-0.02499551089238311
6,neighbor_placebo,9001.0,0.5257035346423218,0.24977904264660636,0.6927044931101426,0.01783209386402974,-0.011986434679219827,0.25,0.675,-0.050457953646919254
