split,feature_set,activation,loss,seed,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
2,base_plus_graph_motion,tanh,focal_gamma_1,2025,0.5358196738831145,0.252124954874534,0.6975577462374999,0.0749950340946376,3,0.027252956085668672,0.007433993656617343,0.6666666666666666,0.7666666666666666,0.019277796772634272
2,base_plus_graph_motion,tanh,focal_gamma_1,9001,0.5271518899012899,0.254372912651902,0.7021152377413301,0.0894903972330951,3,0.016914178690502022,-0.0029047837385493026,0.3333333333333333,0.7666666666666666,-0.01526178736287077
2,base_plus_graph_motion,tanh,focal_gamma_1,117,0.5000622360468668,0.2580437030228399,0.7101808675509552,0.08096834600344376,2,0.029761887131750677,0.00994292470269935,0.6666666666666666,0.6666666666666666,-0.012815529639899893
2,base_plus_graph_motion,tanh,focal_gamma_1,8080,0.4870152974945905,0.26192538487939954,0.7181819712973799,0.08715444245970005,1,0.004708750818701876,-0.01511021161034945,0.0,0.7666666666666666,-0.003638433254645945
2,base_plus_all_motion,tanh,focal_gamma_1,442,0.5319698400345001,0.25133754489012516,0.6958714324284178,0.07470992164281626,11,0.02950691431864753,0.009687951889596204,0.3333333333333333,0.7333333333333334,0.004677211897369516
2,base_plus_all_motion,tanh,focal_gamma_1,2025,0.5170017564395449,0.2529918813209284,0.6992803288502033,0.07582520489582363,2,0.02724313744666414,0.0074241750176128165,0.6666666666666666,0.7000000000000001,-0.0040708067065222
2,base_plus_all_motion,tanh,focal_gamma_1,9001,0.539775120417321,0.2556955136230369,0.70545165290384,0.0945406768037798,2,0.04093608860390182,0.02111712617485049,0.6666666666666666,0.8333333333333334,-0.0019552183951810124
2,base_plus_all_motion,tanh,focal_gamma_1,117,0.5495556094794929,0.2555152173270147,0.7045576192950244,0.10400250942236759,10,0.034932158695275446,0.015113196266224127,1.0,0.8333333333333334,0.025974277117860604
2,base_plus_all_motion,tanh,focal_gamma_1,8080,0.5453952240434822,0.2494353367318578,0.6921690872646311,0.06698794380445632,1,0.03523700198799951,0.015418039558948188,0.6666666666666666,0.7666666666666666,-0.011065410793129404
3,base_only,tanh,focal_gamma_1,442,0.5400796810769244,0.2500471755412389,0.6932886096568879,0.05448120786713439,1,0.04984655737772264,0.04051557933367961,0.6666666666666666,0.6,-0.021446074932809412
