split,dropped_feature,activation,loss,seed,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,latent_radial_expansion,tanh,focal_gamma_1,2025,0.49844974609562137,0.2765287321827255,0.7498922958216893,0.16468594702679445,36,0.020338706050394395,0.009733188528677881,0.6666666666666666,0.7666666666666666,0.0012319064075177696
1,latent_radial_expansion,tanh,focal_gamma_1,9001,0.5134170099964869,0.26479288086873765,0.7237720383442264,0.14393390549601898,23,0.002833405359641421,-0.007772112162075097,0.6666666666666666,0.7666666666666666,-0.005811665403532651
1,neighbor_convergence_velocity,tanh,focal_gamma_1,442,0.522566510172144,0.27350766707213564,0.7427387622101876,0.17316288352860484,2,0.033843792620136204,0.02323827509841968,0.6666666666666666,0.6999999999999998,-0.03190109879018222
1,neighbor_convergence_velocity,tanh,focal_gamma_1,2025,0.5229369870013734,0.26006513374452533,0.7138059905420849,0.1317143207156893,15,-0.007980122407639578,-0.018585639929356097,0.0,0.7333333333333334,-0.0149035166881339
1,neighbor_convergence_velocity,tanh,focal_gamma_1,9001,0.5158353294369391,0.2566010964328696,0.7066505078192818,0.1133827233710727,15,0.00939796431500006,-0.0012075532067164555,0.6666666666666666,0.8333333333333334,-0.024885113908548938
1,graph_cluster_switch_count_20d,tanh,focal_gamma_1,442,0.5000709016000766,0.2526118178984288,0.6984218309866551,0.09119839395466858,6,0.01739307945088216,0.006787561929165645,0.6666666666666666,0.7999999999999999,-0.016430759407416205
1,graph_cluster_switch_count_20d,tanh,focal_gamma_1,2025,0.5274555268116636,0.25653251166639474,0.7065096078672779,0.11948608586974928,15,0.003387961498399107,-0.0072175560233174105,0.3333333333333333,0.7999999999999999,-0.011330781008480673
1,graph_cluster_switch_count_20d,tanh,focal_gamma_1,9001,0.513118073520488,0.25901979151980553,0.7115953695722367,0.12899343774848715,23,0.021010577075016204,0.010405059553299689,1.0,0.7000000000000001,0.003532586828419715
1,graph_regime_residence_days,tanh,focal_gamma_1,442,0.5159950177254,0.24984611608902718,0.692823280448853,0.08342777631542603,6,0.021341623438831028,0.01073610591711451,0.3333333333333333,0.8000000000000002,-0.014784530010953055
1,graph_regime_residence_days,tanh,focal_gamma_1,2025,0.5107240266998818,0.2564769043157197,0.7064420782501364,0.11457548503778099,15,0.0160703058122751,0.005464788290558585,0.3333333333333333,0.8666666666666666,-0.010013096216543192
1,graph_regime_residence_days,tanh,focal_gamma_1,9001,0.5023653029286832,0.2529767178981759,0.6992109453453612,0.09274146481925569,15,0.008632255761639092,-0.001973261760077425,0.6666666666666666,0.8333333333333334,-0.007748692821218138
1,crowding_change_5d,tanh,focal_gamma_1,442,0.4837878062022931,0.2562939724258579,0.705985575541545,0.10163608112749606,5,0.007473222999997315,-0.003132294521719203,0.0,0.8666666666666667,-0.00862957035214169
1,crowding_change_5d,tanh,focal_gamma_1,2025,0.5022375522979144,0.2636126280029466,0.7210656537157486,0.1414758417122088,15,0.005382163201257909,-0.005223354320458607,0.0,0.7999999999999999,-0.012204673039165703
1,crowding_change_5d,tanh,focal_gamma_1,9001,0.47123758423557216,0.26519324946695644,0.7240793841248693,0.13279371056201503,15,0.0035178227384723994,-0.007087694783244117,0.3333333333333333,0.7333333333333334,-0.019235851444901052
2,latent_velocity,tanh,focal_gamma_1,442,0.5300122334694144,0.2544145426036648,0.7022560766942055,0.09022165086947302,8,0.02738055419196751,0.0075615917629161845,0.6666666666666666,0.9333333333333332,0.017383568224498467
2,latent_velocity,tanh,focal_gamma_1,2025,0.5392118527608287,0.25278595015805055,0.6988369512131892,0.08528272822477667,1,0.026872501481180283,0.007053539052128958,0.6666666666666666,0.7666666666666666,-0.03289639491500529
2,latent_velocity,tanh,focal_gamma_1,9001,0.5292754592580207,0.25404658975691113,0.7015529550513752,0.0858987201922375,3,0.011646448738152576,-0.008172513690898749,0.3333333333333333,0.8000000000000002,-0.00510911433181277
2,latent_acceleration,tanh,focal_gamma_1,442,0.5276724095659947,0.2551969242046296,0.7039596317124627,0.09112447801076193,8,0.029302701097524458,0.009483738668473131,0.6666666666666666,0.9,0.027559459074839542
2,latent_acceleration,tanh,focal_gamma_1,2025,0.5362383527438552,0.2530528128876252,0.6993971581394761,0.0850920633310302,1,0.02668850902243698,0.00686954659338565,0.6666666666666666,0.7333333333333334,-0.03289639491500529
2,latent_acceleration,tanh,focal_gamma_1,9001,0.5290214858950486,0.2541809073512508,0.7018520526131586,0.08404133186770595,3,0.018085690853692004,-0.001733271575359323,0.3333333333333333,0.7999999999999999,-0.008689417523792474
2,latent_path_curvature,tanh,focal_gamma_1,442,0.5364885542251989,0.25383611672420675,0.701248709056735,0.0875224942029454,8,0.033667233480133785,0.013848271051082453,0.6666666666666666,0.9,-0.003912834449796598
2,latent_path_curvature,tanh,focal_gamma_1,2025,0.5549204824488061,0.25090355166802036,0.6950181866044167,0.08383062196636483,2,0.036370939522789046,0.01655197709373772,0.6666666666666666,0.7666666666666666,0.020952940997254234
2,latent_path_curvature,tanh,focal_gamma_1,9001,0.5202996382765519,0.2546926123334587,0.7028283122548837,0.08556635615455549,3,0.010304295834253808,-0.009514666594797517,0.3333333333333333,0.8000000000000002,-0.003606837026976461
2,latent_radial_expansion,tanh,focal_gamma_1,442,0.529280488433525,0.25469227861309296,0.7030245378588362,0.08576638579606652,8,0.02104901670492268,0.001230054275871354,0.3333333333333333,0.9333333333333332,0.004082792451499695
2,latent_radial_expansion,tanh,focal_gamma_1,2025,0.555925060255809,0.2506134227912269,0.6944276295954265,0.08459421608933265,2,0.04823981848266096,0.028420856053609635,0.6666666666666666,0.5333333333333333,0.027475429204100666
2,latent_radial_expansion,tanh,focal_gamma_1,9001,0.5176316606714704,0.25493866189691894,0.7035701560798604,0.07458224704792064,1,0.04139910803820102,0.021580145609149698,1.0,0.8333333333333334,0.029756720741580568
2,neighbor_convergence_velocity,tanh,focal_gamma_1,442,0.530718832627782,0.2544504638875685,0.7025444840152338,0.08672528335101601,8,0.03661481929621208,0.016795856867160754,0.6666666666666666,0.9,0.016391455888422078
2,neighbor_convergence_velocity,tanh,focal_gamma_1,2025,0.5414976130275763,0.2513783910090969,0.695984584479568,0.08297229696811755,3,0.0301841489847916,0.010365186555740272,0.3333333333333333,0.6,-0.009421333457239788
2,neighbor_convergence_velocity,tanh,focal_gamma_1,9001,0.5140609460633501,0.2550226118476665,0.7037129998723486,0.08358623670698438,1,0.01846131723402762,-0.0013576451950237066,0.6666666666666666,0.9333333333333332,-0.013866964229227273
2,graph_cluster_switch_count_20d,tanh,focal_gamma_1,442,0.5354487721896652,0.2508673111748694,0.6951145785538959,0.06399957543990792,9,0.028034547941162946,0.008215585512111618,0.6666666666666666,0.7666666666666666,0.010154361070955999
2,graph_cluster_switch_count_20d,tanh,focal_gamma_1,2025,0.5333226882451824,0.2499229767581924,0.6930304786920329,0.06669015728674971,3,0.041934059264634956,0.022115096835583627,0.3333333333333333,0.7666666666666666,0.0021356669911789757
2,graph_cluster_switch_count_20d,tanh,focal_gamma_1,9001,0.5138610363370504,0.2537088348554772,0.7010420267910341,0.07930937287983376,1,0.02773353779053374,0.007914575361482419,0.3333333333333333,0.9333333333333332,-0.002956194996056959
2,graph_regime_residence_days,tanh,focal_gamma_1,442,0.5333968685838721,0.2499440628110694,0.6930880424587564,0.0643960906341103,9,0.029969507148459737,0.010150544719408412,0.6666666666666666,0.7333333333333334,0.01701396483003348
2,graph_regime_residence_days,tanh,focal_gamma_1,2025,0.5358951115156804,0.2503502625990774,0.6939414760608056,0.07221390628806983,3,0.01946227126644985,-0.0003566911626014732,0.3333333333333333,0.7666666666666666,-0.02377783857522552
2,graph_regime_residence_days,tanh,focal_gamma_1,9001,0.5107266027039362,0.2531488057321127,0.699885737739504,0.07259302512225818,1,0.0348917280116988,0.015072765582647474,0.6666666666666666,0.9,-0.0018102397609534018
2,crowding_change_5d,tanh,focal_gamma_1,442,0.5426580952752154,0.25294027252395096,0.6993068439662472,0.08691036137291323,3,0.03743487226525686,0.01761590983620553,0.6666666666666666,0.8666666666666667,0.006033585224277661
2,crowding_change_5d,tanh,focal_gamma_1,2025,0.5221868363845761,0.25284409419973364,0.698966484336562,0.08036126490746386,3,0.020929569152102836,0.0011106067230515053,0.3333333333333333,0.7666666666666666,-0.03103442923707432
2,crowding_change_5d,tanh,focal_gamma_1,9001,0.518301798307431,0.25371047098766036,0.7010685385582364,0.07123462607040058,1,0.027461032557929033,0.007642070128877708,0.3333333333333333,0.8000000000000002,-0.009084977779655456
3,latent_velocity,tanh,focal_gamma_1,442,0.495662512003717,0.2541367028355258,0.7016524228792234,0.05942210346752913,9,0.002900428473130713,-0.006430549570912315,0.3333333333333333,0.9333333333333332,-0.015179338288226794
3,latent_velocity,tanh,focal_gamma_1,2025,0.5273088443013868,0.24942338706950157,0.6919255563555847,0.03667160418228649,1,0.029745334569823676,0.020414356525780646,0.6666666666666666,0.9333333333333332,-0.010756382627230542
3,latent_velocity,tanh,focal_gamma_1,9001,0.49652466771599546,0.25345016872136417,0.7003628179960604,0.05740497591380782,8,0.005735941688787252,-0.0035950363552557756,0.3333333333333333,0.8333333333333334,-0.016873040326932074
3,latent_acceleration,tanh,focal_gamma_1,442,0.4884000303121029,0.25494971997831134,0.703303151177191,0.05620899813610114,9,0.003599535905759078,-0.00573144213828395,0.0,0.9,-0.011692980381251048
3,latent_acceleration,tanh,focal_gamma_1,2025,0.5307997053266068,0.2492766834624824,0.6916421452292608,0.03480362156146002,1,0.012483892887396068,0.003152914843353043,0.3333333333333333,0.9,-0.010656382627230543
3,latent_acceleration,tanh,focal_gamma_1,9001,0.48922864394335613,0.2542163361759235,0.7019174246832497,0.04709437076877053,8,0.002549820560867446,-0.0067811574831755815,0.6666666666666666,0.8666666666666667,-0.03477327870404678
3,latent_path_curvature,tanh,focal_gamma_1,442,0.5177853778888117,0.25830110085752284,0.7109352886076753,0.0652888803444137,1,0.018142266265858843,0.008811288221815814,0.6666666666666666,0.7333333333333334,-0.012301801604238183
3,latent_path_curvature,tanh,focal_gamma_1,2025,0.519570561978933,0.25041872867399967,0.6939731682393078,0.044606958155638206,1,0.010028206519242824,0.000697228475199795,0.3333333333333333,0.8333333333333334,-0.020467738477228412
3,latent_path_curvature,tanh,focal_gamma_1,9001,0.476772108890018,0.2553528018767602,0.7041975263702863,0.06458411008232429,8,-0.0005527903824767005,-0.009883768426519729,0.6666666666666666,0.9,-0.0433395714249572
3,latent_radial_expansion,tanh,focal_gamma_1,442,0.5197966604510292,0.258509402622918,0.7116033962233976,0.06253909055387634,1,0.033096847761309216,0.023765869717266186,0.6666666666666666,0.7666666666666666,-0.01853326925632167
3,latent_radial_expansion,tanh,focal_gamma_1,2025,0.4930176567999115,0.2590350750344449,0.7127533391502555,0.08468625947834234,22,0.013494327313531665,0.004163349269488639,0.6666666666666666,0.7000000000000001,-0.05562629053162009
3,latent_radial_expansion,tanh,focal_gamma_1,9001,0.49763901018561196,0.25389032478645635,0.7013900407400592,0.05430267084506907,16,0.03162361552887469,0.022292637484831655,0.6666666666666666,0.7999999999999999,-0.003237117550294965
3,neighbor_convergence_velocity,tanh,focal_gamma_1,442,0.5179195462129127,0.25890426256092314,0.7124239099171082,0.0662398693780737,1,0.023309987049976808,0.013979009005933784,0.6666666666666666,0.7333333333333334,-0.003924567102014708
3,neighbor_convergence_velocity,tanh,focal_gamma_1,2025,0.47721809433772405,0.2645968004239162,0.7250129483220419,0.1085224739908551,25,0.017708061855166782,0.008377083811123754,0.6666666666666666,0.6666666666666666,-0.013343916984494384
3,neighbor_convergence_velocity,tanh,focal_gamma_1,9001,0.5026131765717261,0.25447326535936454,0.7027344667715285,0.06130908865608193,16,0.010764620334299743,0.0014336422902567134,0.6666666666666666,0.7666666666666666,-0.020184209941923492
3,graph_cluster_switch_count_20d,tanh,focal_gamma_1,442,0.48048285689084785,0.26125176740076445,0.716795889966259,0.0814371009106715,1,0.0037865428323261684,-0.00554443521171686,0.3333333333333333,0.9333333333333332,-0.04854166369260116
3,graph_cluster_switch_count_20d,tanh,focal_gamma_1,2025,0.5069910392951691,0.25121007433605386,0.6955700002600214,0.044253596383003836,1,0.011151659368073703,0.0018206813240306725,0.6666666666666666,0.8333333333333334,-0.03513420682778539
3,graph_cluster_switch_count_20d,tanh,focal_gamma_1,9001,0.4722675316382574,0.25549247327676405,0.7044789036376518,0.056144899885809146,4,-0.014497869745648194,-0.023828847789691226,0.0,0.8333333333333334,-0.037626461798375165
3,graph_regime_residence_days,tanh,focal_gamma_1,442,0.4830146628586052,0.26112905477111603,0.7166235429503701,0.08323933193430556,1,-0.006520742321256184,-0.01585172036529921,0.3333333333333333,0.9333333333333332,-0.032969784154698006
3,graph_regime_residence_days,tanh,focal_gamma_1,2025,0.4938649049206233,0.2524535518102894,0.6981351067228869,0.03906274646573729,2,-0.006622119956745137,-0.015953098000788164,0.3333333333333333,0.9,-0.06456665892264321
3,graph_regime_residence_days,tanh,focal_gamma_1,9001,0.4753745221806328,0.2554753398778763,0.7044213406692591,0.06768431361169287,4,-0.00993366461783725,-0.019264642661880275,0.0,0.9,-0.020943290937206118
3,crowding_change_5d,tanh,focal_gamma_1,442,0.4777572522327225,0.2618158075080681,0.7178979960539676,0.08731938544972878,1,-0.011650479319606772,-0.0209814573636498,0.3333333333333333,0.9333333333333332,-0.044757952929663246
3,crowding_change_5d,tanh,focal_gamma_1,2025,0.5274343165304071,0.24926543039986032,0.6916895286586983,0.02277189296910385,1,0.01987559463212597,0.010544616588082938,0.3333333333333333,0.8000000000000002,-0.020388219215140654
3,crowding_change_5d,tanh,focal_gamma_1,9001,0.4729830960334626,0.25568714683972465,0.7048343482779132,0.05389630780873754,2,-0.001778368819701014,-0.01110934686374404,0.3333333333333333,0.8666666666666667,-0.022077154216392277
