activation,loss,auc_mean,auc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_10_mean,ece_10_std,mean_net_return_mean,mean_net_return_std,mean_excess_return_mean,mean_excess_return_std,win_rate_mean,win_rate_std,turnover_mean,turnover_std,worst_net_return_mean,worst_net_return_std,auc_rank,brier_rank,ece_rank,excess_rank,selection_score
leaky_relu,focal_gamma_1,0.4965727639237212,0.024776382404819615,0.26375999935179834,0.012535775025850012,0.726742273762119,0.03834405062249134,0.10030646633338242,0.033812581607532616,0.012162983808477898,0.015152311539242349,-0.001088835523125725,0.014636185975072012,0.4444444444444444,0.2357022603955158,0.8185185185185184,0.0899245225346591,-0.028361383679830446,0.017556675253499604,0.55,0.55,0.6,0.25,0.48250000000000004
relu,focal_gamma_1,0.494967736043744,0.02083652732755303,0.2629653926406714,0.0071188890141055125,0.7218312084186538,0.01707423756084862,0.10268092848953278,0.029814153559302864,0.012163930110747114,0.009471074479495158,-0.0010878892208565105,0.007753727481122503,0.4444444444444444,0.23570226039551584,0.8148148148148148,0.07286042804780002,-0.022643390139939594,0.010669783012243047,0.45,0.65,0.55,0.3,0.47750000000000004
gelu,focal_gamma_2,0.4921737882722144,0.02130282956967779,0.2633148479205536,0.010452068165756107,0.7241252200017128,0.02757087282032551,0.09774025235960265,0.03598528853974074,0.01249684205861168,0.016206323872425137,-0.0007549772729919423,0.014568246347819105,0.5925925925925926,0.2777777777777778,0.8074074074074074,0.054715876676645056,-0.02262006097730688,0.017953103376438295,0.1,0.6,0.65,0.45,0.39499999999999996
relu,brier_mse,0.4945488969171126,0.02374232560373606,0.2675568112629244,0.00889905609412911,0.7331293933583041,0.019981136196462555,0.11369941667904716,0.03142988051824441,0.01282902998936646,0.0202088374147728,-0.00042278934223716354,0.020685307830346084,0.37037037037037035,0.26057865332352387,0.8185185185185184,0.11194134266449939,-0.026579765061429197,0.014519566691587844,0.4,0.2,0.2,0.55,0.35750000000000004
relu,return_aware_bce,0.4943706465203543,0.02392456040175767,0.2674878546357765,0.009655069628192755,0.733115338913478,0.021926936800299786,0.11231805273709816,0.03314681087453605,0.01224301913208562,0.01786681569605901,-0.001008800199518005,0.018476639404926425,0.2962962962962963,0.26057865332352387,0.8037037037037036,0.12184284555256283,-0.02061666013137423,0.01484593785848385,0.35,0.25,0.4,0.35,0.3325
gelu,focal_gamma_1,0.4867458953719195,0.02359840863994534,0.26661854424660403,0.01292987844608812,0.7313037826791171,0.032725450992925335,0.10388125660844255,0.03937382414676335,0.012497659071119369,0.015882771550254776,-0.0007541602604842554,0.013871704977700012,0.4444444444444444,0.2357022603955158,0.8185185185185184,0.06478835438717004,-0.01975754226947888,0.01421488231337342,0.05,0.35,0.5,0.5,0.305
relu,binary_cross_entropy,0.49418889786377185,0.02372146839915248,0.2674093231575621,0.010167946913895245,0.7331231343635873,0.023563298255187493,0.1136039711340984,0.034033847616579765,0.012081885102369412,0.017993454884305832,-0.00116993422923421,0.018504292728229267,0.2962962962962963,0.26057865332352387,0.8111111111111111,0.12360330811826103,-0.020992622936449556,0.015199134236722507,0.3,0.3,0.25,0.2,0.2675
gelu,return_aware_bce,0.4924401553716771,0.024201103366256357,0.27120896906879705,0.014621522573258616,0.7436356142598664,0.03599185364775135,0.12081466653495232,0.045659133867286775,0.012413829063781823,0.012823859915818874,-0.0008379902678217995,0.012007824453303149,0.37037037037037035,0.26057865332352387,0.7962962962962963,0.08240220541217404,-0.0252627318863015,0.013265964735355754,0.2,0.05,0.05,0.4,0.19
gelu,binary_cross_entropy,0.49223178689080765,0.0242383538472932,0.2701706816792443,0.014039734929242901,0.7408673455903494,0.03428214725817031,0.11848703792937311,0.04369919900082562,0.011820913034985635,0.012069875384351607,-0.0014309062966179876,0.010956487303003784,0.37037037037037035,0.26057865332352387,0.8,0.08975274678557509,-0.025248232305593074,0.013318774732700725,0.15,0.15,0.15,0.15,0.15
gelu,brier_mse,0.49288981124447445,0.02446758274001131,0.27046444414265575,0.013011680742425627,0.7413633088427172,0.03142199921671573,0.11887658462238819,0.04180228364435514,0.010413740123981378,0.011400225975935964,-0.002838079207622245,0.01005098335131909,0.37037037037037035,0.26057865332352387,0.7888888888888889,0.08498365855987976,-0.027326048543316394,0.013651579893289452,0.25,0.1,0.1,0.05,0.14
