split,activation,loss,seed,feature_set,auc,brier,log_loss,ece_10,best_epoch,mean_net_return,mean_excess_return,win_rate,turnover,worst_net_return
1,leaky_relu,focal_gamma_2,442,all_motion,0.4741835137810993,0.2573512265893407,0.7085468495922566,0.09862335141285936,29,0.0215334460429271,0.010927928521210583,0.6666666666666666,0.6999999999999998,-0.023924982319105902
1,leaky_relu,focal_gamma_2,2025,all_motion,0.5178435693526237,0.2596700038024552,0.7135119168048424,0.1228290631865694,32,0.024201276737936612,0.013595759216220096,0.3333333333333333,0.9333333333333332,-0.041986300463237
1,leaky_relu,focal_gamma_2,9001,all_motion,0.47467279869694357,0.26270113296472897,0.719600940213138,0.11713443794395095,14,-0.003024254814735436,-0.013629772336451953,0.0,0.7000000000000001,-0.02335537649839896
1,leaky_relu,return_aware_bce,442,all_motion,0.4697326818051164,0.2753420217147289,0.7510756886022559,0.13513412895204943,17,0.028049983210305347,0.01744446568858883,0.6666666666666666,0.6666666666666666,-0.022477577603407718
1,leaky_relu,return_aware_bce,2025,all_motion,0.49821851745393,0.27785673141095024,0.7561956470688725,0.1671854727494005,17,0.04105627400184542,0.030450756480128915,0.6666666666666666,0.8333333333333334,-0.026450669284487225
1,leaky_relu,return_aware_bce,9001,all_motion,0.4911449650282649,0.27512948451066005,0.7492354135472699,0.15094119893940602,11,0.0034495715299279936,-0.007155945991788526,0.3333333333333333,0.7999999999999999,-0.029671324569812217
1,gelu,binary_cross_entropy,442,all_motion,0.4673897352368177,0.29668756289817627,0.8080520216225101,0.19171946594243247,29,0.02062846155459226,0.010022944032875746,0.6666666666666666,0.7666666666666666,-0.02841872003061705
1,gelu,binary_cross_entropy,2025,all_motion,0.4930880521222573,0.28233698507444704,0.7666858127888239,0.1666898384681982,17,0.00947627521130147,-0.0011292423104150434,0.3333333333333333,0.8666666666666667,-0.044169513671424916
1,gelu,binary_cross_entropy,9001,all_motion,0.48305835010060355,0.2815584984001679,0.767125420718786,0.16034249488388966,15,-0.0058468243710160265,-0.016452341892732543,0.0,0.7333333333333334,-0.03490174820053388
1,gelu,brier_mse,442,all_motion,0.4658401200855929,0.2945292131556222,0.801724963380356,0.18629750769166445,29,0.009431869213208767,-0.0011736483085077489,0.6666666666666666,0.7666666666666666,-0.02841872003061705
1,gelu,brier_mse,2025,all_motion,0.4920686020887228,0.28199200996559437,0.7656675155063339,0.1647857929429689,17,0.00922262834789094,-0.0013828891738255772,0.3333333333333333,0.8333333333333334,-0.038976896227601705
