split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
2,graph_survivors_placebo,tanh_mlp_16_8,442,290,20,174000,12000,0.49156514585334254,0.24973508566371644,0.6926180723464795,0.03153330322113103,0.019096245146095987,1.0,0.775,0.014881850156990619
2,graph_survivors_placebo,elastic_logistic_c1_l25,8080,290,20,174000,12000,0.4726745455267821,0.2497015043637319,0.6925563158291747,0.02382772766610408,-0.0037852563401941496,0.5,0.4,-0.030597106727318912
2,graph_survivors_placebo,tanh_mlp_16_8,8080,290,20,174000,12000,0.4825570597933229,0.25030095334458374,0.6937697639162255,0.02406572082417835,0.007576690479654226,0.5,0.775,-0.033081568962822945
2,graph_survivors_placebo,elastic_logistic_c1_l25,9001,290,20,174000,12000,0.46890852091103036,0.24966731363672298,0.6924869862340438,0.02439079339892781,0.009772391006587514,0.5,0.7749999999999999,-0.014247885437085998
2,graph_survivors_placebo,tanh_mlp_16_8,9001,290,20,174000,12000,0.4926292934261148,0.24987159599547132,0.6929053379450282,0.028417687269132023,0.008973617155666342,0.75,0.8,-0.007517492463235759
2,graph_survivors_placebo,elastic_logistic_c1_l25,2025,290,20,174000,12000,0.4680372005630768,0.2496606084666633,0.6924729976638676,0.02445901482482968,-0.00022112147941061918,0.25,0.575,-0.013135757164275659
2,graph_survivors_placebo,tanh_mlp_16_8,2025,290,20,174000,12000,0.49620268680812873,0.2492717555462005,0.691707865251489,0.020830844308933217,0.016298135822695268,0.75,0.7749999999999999,-0.0004347875034030644
3,graph_survivors_placebo,elastic_logistic_c1_l25,117,310,20,186000,12000,0.4482947880240403,0.25028751563071583,0.693736700116861,0.02521018325852206,-0.032803376634843576,0.0,0.675,-0.07524016074963198
3,graph_survivors_placebo,tanh_mlp_16_8,117,310,20,186000,12000,0.45914862270095236,0.25159494539965555,0.6963852181744755,0.03313969313039834,-0.030389771500710924,0.0,0.7999999999999999,-0.056431401356729916
3,graph_survivors_placebo,elastic_logistic_c1_l25,442,310,20,186000,12000,0.43973152551198014,0.2502704334576742,0.6937010438673973,0.024198959242247776,-0.038053789776395903,0.0,0.7749999999999999,-0.0976053979024659
3,graph_survivors_placebo,tanh_mlp_16_8,442,310,20,186000,12000,0.4435399706790842,0.25241685954500426,0.6980718687000415,0.03742072888173394,-0.004067095510111076,0.5,0.95,-0.013926862743164323
3,graph_survivors_placebo,elastic_logistic_c1_l25,8080,310,20,186000,12000,0.4362342678554205,0.25042842046579056,0.6940202975104367,0.02296515250763643,-0.03376673991087832,0.25,0.75,-0.10202667756928213
3,graph_survivors_placebo,tanh_mlp_16_8,8080,310,20,186000,12000,0.42108743581407215,0.2548640441126573,0.7030204626063646,0.05645732210414516,-0.022610476915147244,0.25,0.975,-0.059842618190840316
3,graph_survivors_placebo,elastic_logistic_c1_l25,9001,310,20,186000,12000,0.4362437699781079,0.25044625023471945,0.6940563621577971,0.02298650605857673,-0.01970422022741318,0.5,0.825,-0.07095782025217534
3,graph_survivors_placebo,tanh_mlp_16_8,9001,310,20,186000,12000,0.4331441439216729,0.252561904912249,0.6983288107794903,0.03182051951430515,-0.006386500986416072,0.25,0.95,-0.030747948882963515
3,graph_survivors_placebo,elastic_logistic_c1_l25,2025,310,20,186000,12000,0.43806971917639637,0.2504179939214566,0.6939987933495081,0.02341597157950117,-0.02013970714150913,0.5,0.825,-0.06814324227208951
3,graph_survivors_placebo,tanh_mlp_16_8,2025,310,20,186000,12000,0.42888332483701547,0.2534510023036359,0.7001372551750796,0.05273136418097914,-0.04759042797745898,0.0,0.9,-0.07747867759401478
4,graph_survivors_placebo,elastic_logistic_c1_l25,117,330,20,198000,12000,0.5038639684813514,0.25947881866650563,0.7121508779651332,0.17687409626631478,0.005366589937593978,0.75,0.625,-0.054494021544658246
4,graph_survivors_placebo,tanh_mlp_16_8,117,330,20,198000,12000,0.50465639236702,0.2611007827662993,0.7154899456670853,0.1807000601936724,0.01042651317504112,0.5,0.575,-0.046609932043060444
4,graph_survivors_placebo,elastic_logistic_c1_l25,442,330,20,198000,12000,0.503678293136306,0.25949189954032054,0.7121739945933856,0.1769790579894806,0.008544655960474136,0.75,0.75,-0.040845659538723086
4,graph_survivors_placebo,tanh_mlp_16_8,442,330,20,198000,12000,0.4973124422485887,0.2582613548263481,0.7097638029851472,0.17195615218032345,0.007681601887004555,0.75,0.825,-0.03833755211400359
4,graph_survivors_placebo,elastic_logistic_c1_l25,8080,330,20,198000,12000,0.5022297940358631,0.25985680942607686,0.71290737355752,0.17857168168870133,0.009630609066092323,0.75,0.675,-0.051829070951642374
4,graph_survivors_placebo,tanh_mlp_16_8,8080,330,20,198000,12000,0.5024112065819079,0.26296898735555835,0.7192322108213769,0.18607381599485132,0.009556970076156895,0.5,0.7,-0.06606197176739877
4,graph_survivors_placebo,elastic_logistic_c1_l25,9001,330,20,198000,12000,0.4973190191384756,0.2598057700002386,0.7128011327818385,0.17751849131169692,0.005104058073724958,0.5,0.7749999999999999,-0.05036807378613688
4,graph_survivors_placebo,tanh_mlp_16_8,9001,330,20,198000,12000,0.4876577810346916,0.26036076040280137,0.7140082967506588,0.1762399408373668,0.008254913604815638,0.75,0.7250000000000001,-0.05075145173566237
4,graph_survivors_placebo,elastic_logistic_c1_l25,2025,330,20,198000,12000,0.5012748052654459,0.2598514849803101,0.7128949636702033,0.17787314175580407,0.00682139774466892,0.5,0.7999999999999999,-0.04196802822118685
4,graph_survivors_placebo,tanh_mlp_16_8,2025,330,20,198000,12000,0.48676850026601387,0.2587982930368992,0.7108380218432406,0.17179802005122172,0.014067085425155931,0.75,0.7,-0.04914305150433618
5,graph_survivors_placebo,elastic_logistic_c1_l25,117,350,20,210000,12000,0.531388363735172,0.2458856117305512,0.6849087366419656,0.09443408022573718,0.015519909435405965,0.5,0.5499999999999999,-0.04053862306177861
5,graph_survivors_placebo,tanh_mlp_16_8,117,350,20,210000,12000,0.500112239621801,0.2484676511274805,0.6900725713136497,0.09460473537316202,0.0024468697775286326,0.25,0.7750000000000001,-0.017435895643565427
5,graph_survivors_placebo,elastic_logistic_c1_l25,442,350,20,210000,12000,0.5299802111929546,0.2460766542840858,0.6852910753343291,0.08964842563700479,0.022267636868511215,0.5,0.75,-0.0264997480367219
5,graph_survivors_placebo,tanh_mlp_16_8,442,350,20,210000,12000,0.49534875288211466,0.24905951274105004,0.6912505454011977,0.09690542359273484,-0.0024464342373343205,0.5,0.8500000000000001,-0.023068234678503004
5,graph_survivors_placebo,elastic_logistic_c1_l25,8080,350,20,210000,12000,0.5365291301769255,0.24566259411946073,0.6844615632987289,0.09020438791246776,0.01649401101463349,0.5,0.7,-0.0494667348813157
