split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
4,base_only,tanh_mlp_16_8,2025,330,20,198000,12000,0.4765765132380766,0.2593061061242187,0.7120177672192641,0.16735599078478333,0.0027078314299099765,0.75,0.75,-0.06107186298933685
4,base_only,tanh_mlp_16_8,9001,330,20,198000,12000,0.49602650803289455,0.26091084406888826,0.7153798352918684,0.17380401465930995,-0.00148367618137857,0.5,0.675,-0.031960410203903285
4,base_plus_crowding,elastic_logistic_c1_l25,0,330,20,198000,12000,0.499366045667183,0.2592957204425094,0.711772451034509,0.17641928442141627,0.00856082759206114,0.75,0.975,-0.011453607368341629
4,base_plus_crowding,ridge_logistic_c01,0,330,20,198000,12000,0.4995435303484342,0.25928753820053546,0.7117560967630449,0.17640532582107316,0.00856082759206114,0.75,0.975,-0.011453607368341629
4,base_plus_crowding,tanh_mlp_16_8,442,330,20,198000,12000,0.5012098584778135,0.2583575836847759,0.7100911496966489,0.16965971963589685,0.004819544653421218,0.75,0.725,-0.08863693969626744
4,base_plus_crowding,tanh_mlp_16_8,2025,330,20,198000,12000,0.5053119804047655,0.26081283703320074,0.7150847378241615,0.17732489512088404,0.011678084951870511,0.75,0.7,-0.06129309090220013
4,base_plus_crowding,tanh_mlp_16_8,9001,330,20,198000,12000,0.5003489862196192,0.2607649256910905,0.714978986957822,0.17568872674816838,-0.012369569744241509,0.75,0.7749999999999999,-0.08074500553726122
4,base_plus_regime,elastic_logistic_c1_l25,0,330,20,198000,12000,0.4980440299028042,0.25943306498698326,0.712048539950991,0.17676338064247996,0.021695733979919057,0.75,0.8999999999999999,-0.01365145631564852
4,base_plus_regime,ridge_logistic_c01,0,330,20,198000,12000,0.4978509555566361,0.2594356982989171,0.7120538536950932,0.17676164397457192,0.02332108358581786,0.75,0.8999999999999999,-0.01365145631564852
4,base_plus_regime,tanh_mlp_16_8,442,330,20,198000,12000,0.4798634053047062,0.2591966404094509,0.7116878830600745,0.1706803402419331,-0.008897355192658985,0.25,0.775,-0.06053148394489336
4,base_plus_regime,tanh_mlp_16_8,2025,330,20,198000,12000,0.4850585393440057,0.2622208394078137,0.7180931459160151,0.1762383651725068,0.0005887211528238546,0.5,0.725,-0.06847269205188827
4,base_plus_regime,tanh_mlp_16_8,9001,330,20,198000,12000,0.4934732436742879,0.25930936253569836,0.7121427125894189,0.16938581752989357,-0.013886457661790958,0.25,0.7250000000000001,-0.04840054708312301
4,graph_survivors,elastic_logistic_c1_l25,0,330,20,198000,12000,0.49796127070506174,0.2596147770673227,0.7124151339142561,0.1772566059197315,0.018289813313597178,0.75,1.0,-0.014978622981495656
4,graph_survivors,ridge_logistic_c01,0,330,20,198000,12000,0.4981828449074061,0.2596190421624382,0.7124236685479954,0.1772874025802893,0.016811323337288946,0.75,0.95,-0.014878622981495655
4,graph_survivors,tanh_mlp_16_8,442,330,20,198000,12000,0.49631272453722824,0.2607159688151454,0.7149421774045764,0.17364107559511036,0.005950668785402716,0.75,0.825,-0.057573819587959756
4,graph_survivors,tanh_mlp_16_8,2025,330,20,198000,12000,0.48555408972783887,0.2647760536507015,0.72347758914153,0.18034702721008466,0.0014002710743447212,0.75,0.8,-0.05228397053625498
4,graph_survivors,tanh_mlp_16_8,9001,330,20,198000,12000,0.4964066888066297,0.2630452350902607,0.7198873308959437,0.177912491471462,0.000465957197705244,0.75,0.825,-0.07628977157958117
5,base_only,elastic_logistic_c1_l25,0,350,20,210000,12000,0.54382174197985,0.2456528426218362,0.6844429397068228,0.08608966862848912,0.02536446193890989,0.5,0.825,-0.026754002845049137
5,base_only,ridge_logistic_c01,0,350,20,210000,12000,0.5436765539420194,0.24565658059871692,0.6844504463233974,0.08609012555319909,0.02536446193890989,0.5,0.825,-0.026754002845049137
5,base_only,tanh_mlp_16_8,442,350,20,210000,12000,0.47432042875012537,0.251453287870426,0.6960596171378717,0.10040099732292844,0.005457922324409158,0.5,0.8250000000000001,-0.0491434163183119
5,base_only,tanh_mlp_16_8,2025,350,20,210000,12000,0.503089916401675,0.2517042320454977,0.696670333978306,0.10697905917671628,-0.006944257982692311,0.25,0.75,-0.046169384095614524
5,base_only,tanh_mlp_16_8,9001,350,20,210000,12000,0.45033915367780447,0.2539807829167658,0.7011622136947933,0.10645697605397461,-0.00030118876431100335,0.5,0.75,-0.029175617387461304
5,base_plus_crowding,elastic_logistic_c1_l25,0,350,20,210000,12000,0.543048122469088,0.24562886289662544,0.6843936567302705,0.08619951613035853,0.026972727477782066,0.75,0.875,-0.0061834420354587635
5,base_plus_crowding,ridge_logistic_c01,0,350,20,210000,12000,0.5430539334772062,0.24562886616203153,0.6843936890378335,0.08619029080386297,0.02354911394833357,0.75,0.875,-0.006183442035458762
